Produto,Preço
Samsung Galaxy A14 128gb 4gb Ram Prata Cor Prateado,929
"Smart TV Philco PTV32G7ER2CPBLH LED Roku OS HD 32"" 110V/240V",999
Notebook Acer Gamer Nitro An515-57 I5 Gtx1650 8gb 512ssd Lnx Cor Preto,3.999
Microsoft Xbox Series S 512GB Standard cor  branco,2.029
Alto-falante JBL Boombox 3 portátil com bluetooth waterproof black 100V/240V ,2.259
Cadeira De Descanso Musical Funtime Maxi Baby Vibratória,199
Samsung Galaxy A14 4G (MediaTek) Dual SIM 128 GB black 4 GB RAM,890
"Smart TV LG AI ThinQ 43LM631C0SB LED webOS Full HD 43"" 100V/240V",1.699
Notebook Acer Nitro 5 An515-58w3 I5 8gb 512gb Rtx3050 15.6,4.679
Suplemento em pó Soldiers Nutrition  Soldiers Nutrition Creatina Monohidratada creatina Creatina Monohidratada em envelope de 500g,123
"Furadeira parafusadeira sem fio de 10mm Wap BPF 12K3 12V + accesorios 110V/220V
",174
Impressora a cor multifuncional Epson EcoTank L3250 com wifi preta 100V/240V,1.103
Samsung Galaxy A04e 64 GB light blue 3 GB RAM,639
"Smart Tv 43  Britania Btv43e3aagssgblf Led Full Hd (1920 X 1080) 43 Dolby Audio, Chromecast Built In, Com Netflix, Globoplay, Youtube, Prime Video - 110v/220v",1.499
Câmera de segurança Wi-Fi externa noturna branca A8,103
Lavadora de Alta Pressão Wap Ousada Plus 2200 Uso Ocasional Amarela e Preta 1500W com 1750psi de Pressão Máxima 220V,469
Máquina de lavar automática Electrolux Turbo Economia LAC11 branca 10.5kg 127 V,1.595
"Notebook Multilaser Ultra UB240 preta 14.1"", Intel Celeron N4020  4GB de RAM 128GB SSD, Intel UHD Graphics 600 1366x768px Windows 11 Home",1.099
Smartphone Moto E13 64gb 4gb Ram Grafite Motorola,679
"Smart TV TCL P635-Series 50P635 LED 4K 50"" 100V/240V",2.099
Impressora a cor multifuncional Epson EcoTank L3250 com wifi preta 110V,1.098
Loção hidratante Com Ácido Hialurônico Sem Perfume 473ml Cerave,79
Alto-falante JBL PartyBox 310 portátil com bluetooth waterproof black 100V/240V ,3.049
Samsung Galaxy A34 5G 128GB Preto 6GB Ram,1.505
"Smart TV Samsung UN32T4300AGXZD Tizen HD 32"" 100V/240V",1.149
Azeite de Oliva Extra Virgem Português Andorinha Clássicos Vidro 500ml,26
Creatina Monohidratada 1Kg - 100% Pura - Soldiers Nutrition,228
"Monitor gamer LG 20MK400H led 19.5"" preto 100V/240V",423
Módulo Taramps Ts400 Digital Amplif 400w Rms 4 Canais 2 Ohms,185
Samsung Galaxy A14 4G (Exynos) Dual SIM 128 GB Verde lima 4 GB RAM,899
"Smart TV Samsung BET-B HD 32"" Bivolt",1.149
Impressora a cor multifuncional Epson EcoTank L4260 com wifi preta 100V/240V,1.499
Aspirador de Pó Vertical e de Mão WAP High Speed 1.2L Vermelho e Preto 127V,176
Chuveiro elétrico de parede Lorenzetti Acqua Ultra Duo preto-cromado 7800W 220V,499
"Monitor gamer Samsung F24T35 led 24"" azul e cinza-escuro 100V/240V",688
Samsung Galaxy S21 FE 5G (Exynos) 5G Dual SIM 256 GB verde 8 GB RAM,2.279
"Smart TV LG 32LQ621CBSB .AWZ LED webOS HD 32"" 100V/240V",1.159
Nebulizador E Inalador De Rede Vibratória Nebmesh2 G-tech,138
Notebook Acer Aspire 3 A314-35-c1w1 Celeron 4gb 128gb Sdd,1.699
Tenda Praia Gazebo Dobrável Impermeável 3x3m Barraca Camping,398
Detergente líquido profissional lavagem perfeita 7L Omo,74
 Moto G42 Dual SIM 128 GB azul 4 GB RAM,989
"Smart TV LG 55UQ801C0SB LCD 4K 55"" 100V/240V",2.289
Fritadeira Air Fry 1500w Bfr21p Britânia 220v,329
Suplemento Em Pó Dark Lab Creatine Premium Creatina Em Pote De 300g,98
Lavadora de Alta Pressão Wap Ousada Plus 2200 Uso Ocasional Amarela e Preta 1500W com 1750psi de Pressão Máxima 127V,450
 Moto E22 Dual SIM 128 GB preto 4 GB RAM,829
"Smart TV Philco PTV32G70RCH LED Roku OS HD 32"" 110V/220V",975
